target,target_week,target_year,location,type,quantile,value
1 wk ahead,52,2021,BW,point,NA,-
1 wk ahead,52,2021,BW,quantile,0.025,-
1 wk ahead,52,2021,BW,quantile,0.25,-
1 wk ahead,52,2021,BW,quantile,0.5,-
1 wk ahead,52,2021,BW,quantile,0.75,-
1 wk ahead,52,2021,BW,quantile,0.975,-
2 wk ahead,1,2022,BW,point,NA,-
2 wk ahead,1,2022,BW,quantile,0.025,-
2 wk ahead,1,2022,BW,quantile,0.25,-
2 wk ahead,1,2022,BW,quantile,0.5,-
2 wk ahead,1,2022,BW,quantile,0.75,-
2 wk ahead,1,2022,BW,quantile,0.975,-
,,,,,,
1 wk ahead,52,2021,BY,point,NA,-
1 wk ahead,52,2021,BY,quantile,0.025,-
1 wk ahead,52,2021,BY,quantile,0.25,-
1 wk ahead,52,2021,BY,quantile,0.5,-
1 wk ahead,52,2021,BY,quantile,0.75,-
1 wk ahead,52,2021,BY,quantile,0.975,-
2 wk ahead,1,2022,BY,point,NA,-
2 wk ahead,1,2022,BY,quantile,0.025,-
2 wk ahead,1,2022,BY,quantile,0.25,-
2 wk ahead,1,2022,BY,quantile,0.5,-
2 wk ahead,1,2022,BY,quantile,0.75,-
2 wk ahead,1,2022,BY,quantile,0.975,-
,,,,,,
1 wk ahead,52,2021,BE,point,NA,-
1 wk ahead,52,2021,BE,quantile,0.025,-
1 wk ahead,52,2021,BE,quantile,0.25,-
1 wk ahead,52,2021,BE,quantile,0.5,-
1 wk ahead,52,2021,BE,quantile,0.75,-
1 wk ahead,52,2021,BE,quantile,0.975,-
2 wk ahead,1,2022,BE,point,NA,286
2 wk ahead,1,2022,BE,quantile,0.025,50
2 wk ahead,1,2022,BE,quantile,0.25,210
2 wk ahead,1,2022,BE,quantile,0.5,286
2 wk ahead,1,2022,BE,quantile,0.75,354
2 wk ahead,1,2022,BE,quantile,0.975,502
,,,,,,
1 wk ahead,52,2021,BB,point,NA,-
1 wk ahead,52,2021,BB,quantile,0.025,-
1 wk ahead,52,2021,BB,quantile,0.25,-
1 wk ahead,52,2021,BB,quantile,0.5,-
1 wk ahead,52,2021,BB,quantile,0.75,-
1 wk ahead,52,2021,BB,quantile,0.975,-
2 wk ahead,1,2022,BB,point,NA,270
2 wk ahead,1,2022,BB,quantile,0.025,146
2 wk ahead,1,2022,BB,quantile,0.25,211
2 wk ahead,1,2022,BB,quantile,0.5,270
2 wk ahead,1,2022,BB,quantile,0.75,331
2 wk ahead,1,2022,BB,quantile,0.975,389
,,,,,,
1 wk ahead,52,2021,HB,point,NA,-
1 wk ahead,52,2021,HB,quantile,0.025,-
1 wk ahead,52,2021,HB,quantile,0.25,-
1 wk ahead,52,2021,HB,quantile,0.5,-
1 wk ahead,52,2021,HB,quantile,0.75,-
1 wk ahead,52,2021,HB,quantile,0.975,-
2 wk ahead,1,2022,HB,point,NA,-
2 wk ahead,1,2022,HB,quantile,0.025,-
2 wk ahead,1,2022,HB,quantile,0.25,-
2 wk ahead,1,2022,HB,quantile,0.5,-
2 wk ahead,1,2022,HB,quantile,0.75,-
2 wk ahead,1,2022,HB,quantile,0.975,-
,,,,,,
1 wk ahead,52,2021,HH,point,NA,-
1 wk ahead,52,2021,HH,quantile,0.025,-
1 wk ahead,52,2021,HH,quantile,0.25,-
1 wk ahead,52,2021,HH,quantile,0.5,-
1 wk ahead,52,2021,HH,quantile,0.75,-
1 wk ahead,52,2021,HH,quantile,0.975,-
2 wk ahead,1,2022,HH,point,NA,83
